Titre,Localisation,Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Peugeot 307 diesel 2012,"Triangle d'Or, Casablanca",60 000 DH,2012,Manuelle,Diesel,140 000 - 149 999,Peugeot,307,5,WW au Maroc,Oui,6 CV,Très bon,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Audi Q5 Diesel Automatique 2019 à Casablanca,"Hay Hassani, Casablanca",420 000 DH,2019,Automatique,Diesel,80 000 - 84 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Alfa Romeo - Giulietta 2018 automatique,"Massira 3, Marrakech",158 000 DH,2018,Automatique,Diesel,100 000 - 109 999,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Toyota corolla,"Médina, Tanger",192 000 DH,2021,Automatique,Hybride,60 000 - 64 999,Toyota,Corolla,5,WW au Maroc,Oui,10 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Fiat 500 Automatique en excellent état,"Ain Sebaa, Casablanca",135 000 DH,2022,Automatique,Essence,50 000 - 54 999,Fiat,500,3,WW au Maroc,Oui,7 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mini country man,"Riad Oulad Mtaa, Temara",103 000 DH,2012,Manuelle,Essence,120 000 - 129 999,Mini,CountryMan,5,WW au Maroc,Non,8 CV,Neuf,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CITROEN C5 Aircros SHINE 2L DIE Automatique 2020,"Hay Riad, Rabat",220 000 DH,2020,Automatique,Diesel,100 000 - 109 999,Citroen,C5,5,WW au Maroc,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia sandero stepway  2021 diesel,"Sidi Maarouf, Casablanca",138 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Dacia,Sandero,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
MERCEDES CLA Automatique diesel 2018 a Casablanca.,"Autre secteur, Casablanca",256 000 DH,2018,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,9 CV,Bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Fiat 500 X Essence Automatique 2024 à Casablanca,"Aïn Chock, Casablanca",220 000 DH,2024,Automatique,Essence,0 - 4 999,Fiat,500X,5,WW au Maroc,Non,8 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Peugeot 508 Essence Manuelle 2012 à Rabat,"Yacoub El Mansour, Rabat",83 000 DH,2012,Manuelle,Essence,160 000 - 169 999,Peugeot,508,5,WW au Maroc,Non,9 CV,Bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Volkswagen Caddy Diesel Automatique 2008,"M'Hamid, Marrakech",118 000 DH,2008,Automatique,Diesel,200 000 - 249 999,Volkswagen,Caddy,,Dédouanée,,8 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
GLC amg 300,"Hamria, Meknès",670 000 DH,2020,Automatique,Diesel,80 000 - 84 999,Mercedes-Benz,Classe GLC,5,Importée neuve,Non,8 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Citroen C-ELYSEE Diesel Manuelle 2024 à Temara,"Autre secteur, Temara",163 000 DH,2024,Manuelle,Diesel,15 000 - 19 999,Citroen,C-Elysée,5,WW au Maroc,Oui,6 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
clio 4,"Centre Ville, Temara",105 000 DH,2017,Manuelle,Diesel,140 000 - 149 999,Renault,Clio,,,,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Volvo XC60 Diesel Automatique 2021 à Tanger,"Achennad, Tanger",356 000 DH,2021,Automatique,Diesel,190 000 - 199 999,Volvo,XC60,5,WW au Maroc,Non,8 CV,Bon,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Ford Kuga,"Smaâla, Settat",215 000 DH,2019,Manuelle,Diesel,15 000 - 19 999,Ford,Kuga,5,WW au Maroc,Oui,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Dacia sandero,"Marjane 2, Meknès",75 000 DH,2014,Manuelle,Diesel,110 000 - 119 999,Dacia,Sandero,5,,Non,6 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
سيارة دوستر,"Toute la ville, Errachidia",99 000 DH,2017,Manuelle,Diesel,110 000 - 119 999,Dacia,Duster,5,WW au Maroc,Oui,7 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Renault Clio Diesel Manuelle 2022 à Casablanca,"Oulfa, Casablanca",142 000 DH,2022,Manuelle,Diesel,100 000 - 109 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Volkswagen T-Roc Diesel Automatique 2022 à Kénitra,"Autre secteur, Kénitra",280 000 DH,2022,Automatique,Diesel,95 000 - 99 999,Volkswagen,T-Roc,5,WW au Maroc,Oui,8 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ford kuga,"Ain Sebaa, Casablanca",196 000 DH,2018,Automatique,Diesel,130 000 - 139 999,Ford,Kuga,5,WW au Maroc,Non,8 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dacia Duster Diesel Automatique 2021 à Casablanca,"2 Mars, Casablanca",159 000 DH,2021,Automatique,Diesel,95 000 - 99 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Ford kuga titanuim 1er main,"Ain Sebaa, Casablanca",198 000 DH,2018,Manuelle,Diesel,130 000 - 139 999,Ford,Kuga,,WW au Maroc,Oui,8 CV,Neuf,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SKODA KAMIQ ÉLÉGANCE 1.0 TSI 115 AUTOMATIQUE 2024,"Centre, Tanger",227 000 DH,2024,Automatique,Essence,10 000 - 14 999,Skoda,Kamiq,5,WW au Maroc,Oui,6 CV,Neuf,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Mercedes classe c 220 automatique ded 2010,"Aïn Chock, Casablanca",99 000 DH,2005,Automatique,Diesel,250 000 - 299 999,Mercedes-Benz,Classe C,5,Dédouanée,Non,9 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
JEEP RENEGADE 1.6 MJET2 6CV AUTOMATIQUE 2019,"Centre, Tanger",187 000 DH,2019,Automatique,Diesel,95 000 - 99 999,Jeep,Renegade,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Range Rover sport autobiographie,"Californie, Casablanca",510 000 DH,2021,Automatique,Diesel,85 000 - 89 999,Land Rover,Range Rover Sport,5,WW au Maroc,Non,12 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mercedes E220,"Zemmouri, Tanger",365 000 DH,2020,Automatique,Diesel,140 000 - 149 999,Mercedes-Benz,Classe E,5,Dédouanée,Non,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Volkswagen Passat Diesel Manuelle 2016 à Kénitra,"Autre secteur, Rabat",125 000 DH,2016,Automatique,Essence,100 000 - 109 999,Volkswagen,Passat,5,Importée neuve,Non,15 CV,Correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Volkswagen Golf 7 Diesel Automatique 2021,"Autre secteur, Casablanca",185 000 DH,2018,Automatique,Diesel,140 000 - 149 999,Volkswagen,Golf 7,5,WW au Maroc,Oui,8 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Audi Q3 Diesel Automatique 2019 à Rabat,"Yacoub El Mansour, Rabat",265 000 DH,2019,Automatique,Diesel,200 000 - 249 999,Audi,Q3,5,WW au Maroc,Non,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia Sandero Essence Manuelle 2023 33000km,"Ain Sebaa, Casablanca",113 000 DH,2023,Manuelle,Essence,30 000 - 34 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
crosland x 2018,"2 Mars, Casablanca",150 000 DH,2018,Manuelle,Diesel,190 000 - 199 999,Opel,Crossland,5,WW au Maroc,Non,6 CV,Correct,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
renault,"Achennad, Tanger",70 000 DH,2006,Manuelle,Diesel,190 000 - 199 999,Renault,Kangoo,5,WW au Maroc,Oui,7 CV,Excellent,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Volkswagen Tiguan Diesel Automatique 2015,"Toute la ville, Al Hoceima",235 000 DH,2015,Automatique,Diesel,200 000 - 249 999,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Nouveau Tesla Model 3 Electrique Automatique,"Agdal, Marrakech",450 000 DH,2024,Automatique,Electrique,35 000 - 39 999,Tesla,Model 3,5,Dédouanée,Oui,6 CV,Excellent,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia Duster Diesel Manuelle 2011 à Casablanca,"Aïn Chock, Casablanca",97 000 DH,2011,Manuelle,Diesel,30 000 - 34 999,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Peugeot 307 diesel 2012,"Triangle d'Or, Casablanca",60 000 DH,2012,Manuelle,Diesel,140 000 - 149 999,Peugeot,307,5,WW au Maroc,Oui,6 CV,Très bon,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Audi Q5 Diesel Automatique 2019 à Casablanca,"Hay Hassani, Casablanca",420 000 DH,2019,Automatique,Diesel,80 000 - 84 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Alfa Romeo - Giulietta 2018 automatique,"Massira 3, Marrakech",158 000 DH,2018,Automatique,Diesel,100 000 - 109 999,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Toyota corolla,"Médina, Tanger",192 000 DH,2021,Automatique,Hybride,60 000 - 64 999,Toyota,Corolla,5,WW au Maroc,Oui,10 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Fiat 500 Automatique en excellent état,"Ain Sebaa, Casablanca",135 000 DH,2022,Automatique,Essence,50 000 - 54 999,Fiat,500,3,WW au Maroc,Oui,7 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mini country man,"Riad Oulad Mtaa, Temara",103 000 DH,2012,Manuelle,Essence,120 000 - 129 999,Mini,CountryMan,5,WW au Maroc,Non,8 CV,Neuf,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CITROEN C5 Aircros SHINE 2L DIE Automatique 2020,"Hay Riad, Rabat",220 000 DH,2020,Automatique,Diesel,100 000 - 109 999,Citroen,C5,5,WW au Maroc,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia sandero stepway  2021 diesel,"Sidi Maarouf, Casablanca",138 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Dacia,Sandero,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
MERCEDES CLA Automatique diesel 2018 a Casablanca.,"Autre secteur, Casablanca",256 000 DH,2018,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,9 CV,Bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Fiat 500 X Essence Automatique 2024 à Casablanca,"Aïn Chock, Casablanca",220 000 DH,2024,Automatique,Essence,0 - 4 999,Fiat,500X,5,WW au Maroc,Non,8 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Peugeot 508 Essence Manuelle 2012 à Rabat,"Yacoub El Mansour, Rabat",83 000 DH,2012,Manuelle,Essence,160 000 - 169 999,Peugeot,508,5,WW au Maroc,Non,9 CV,Bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Volkswagen Caddy Diesel Automatique 2008,"M'Hamid, Marrakech",118 000 DH,2008,Automatique,Diesel,200 000 - 249 999,Volkswagen,Caddy,,Dédouanée,,8 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
GLC amg 300,"Hamria, Meknès",670 000 DH,2020,Automatique,Diesel,80 000 - 84 999,Mercedes-Benz,Classe GLC,5,Importée neuve,Non,8 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Citroen C-ELYSEE Diesel Manuelle 2024 à Temara,"Autre secteur, Temara",163 000 DH,2024,Manuelle,Diesel,15 000 - 19 999,Citroen,C-Elysée,5,WW au Maroc,Oui,6 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
clio 4,"Centre Ville, Temara",105 000 DH,2017,Manuelle,Diesel,140 000 - 149 999,Renault,Clio,,,,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Volvo XC60 Diesel Automatique 2021 à Tanger,"Achennad, Tanger",356 000 DH,2021,Automatique,Diesel,190 000 - 199 999,Volvo,XC60,5,WW au Maroc,Non,8 CV,Bon,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Audi Q5 Diesel Automatique 2019 à Casablanca,"Hay Hassani, Casablanca",420 000 DH,2019,Automatique,Diesel,80 000 - 84 999,Audi,Q5,5,WW au Maroc,Oui,8 CV,Bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Alfa Romeo - Giulietta 2018 automatique,"Massira 3, Marrakech",158 000 DH,2018,Automatique,Diesel,100 000 - 109 999,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Toyota corolla,"Médina, Tanger",192 000 DH,2021,Automatique,Hybride,60 000 - 64 999,Toyota,Corolla,5,WW au Maroc,Oui,10 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Fiat 500 Automatique en excellent état,"Ain Sebaa, Casablanca",135 000 DH,2022,Automatique,Essence,50 000 - 54 999,Fiat,500,3,WW au Maroc,Oui,7 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
mini country man,"Riad Oulad Mtaa, Temara",103 000 DH,2012,Manuelle,Essence,120 000 - 129 999,Mini,CountryMan,5,WW au Maroc,Non,8 CV,Neuf,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CITROEN C5 Aircros SHINE 2L DIE Automatique 2020,"Hay Riad, Rabat",220 000 DH,2020,Automatique,Diesel,100 000 - 109 999,Citroen,C5,5,WW au Maroc,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia sandero stepway  2021 diesel,"Sidi Maarouf, Casablanca",138 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Dacia,Sandero,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
MERCEDES CLA Automatique diesel 2018 a Casablanca.,"Autre secteur, Casablanca",256 000 DH,2018,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,9 CV,Bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
